Point Index,Reprojection Error
0,4.408790287775019
1,4.67128389585854
2,5.217049691762273
3,6.759768662416542
4,2.846941093667716
5,2.0241577357121945
6,0.7274558857744424
7,0.8917916181075238
8,2.002239695213563
9,2.3970031657391027
10,4.5156453645084165
11,3.1528116926500407
12,0.5830600255530668
13,1.4683676475151526
14,3.1857885422204175
15,4.793471842540696
16,1.7076219490969624
17,0.9576758349770685
18,3.217715960739667
19,5.160645908361504
20,8.045744493405246
21,9.907503349115963
22,5.678758516097798
23,7.593103040617925
24,11.882732033073593
25,8.768588260572166
26,6.1068638933483825
27,5.566194893148324
28,3.586164388744411
29,5.104151781012728
30,6.280944759837384
31,6.159288090198517
32,6.811080289608735
33,7.176184153592974
34,6.697758200902639
35,6.646203878009813
36,6.285165134735887
37,12.09913643713072
38,11.300199134255786
39,10.258127814088391
40,9.170749728947587
41,7.747250233291088
42,6.100719034116121
43,4.249014025154781
44,2.8738438912000883
45,6.7859162648531
46,4.333324494253134
47,2.712261754758864
48,10.009195178951039
49,8.592243196943441
50,4.677739709287563
51,6.062121858107946
52,9.141063276064937
53,8.188036031330636
54,8.110554000283221
55,8.500369413001435
56,6.946654879217809
57,6.276350683958964
58,5.277712842091304
59,3.2985017714792333
60,12.165094987972722
61,9.812677929750805
62,7.396574205264296
63,5.184013864379642
64,2.5491104929984796
65,0.34509803942086265
66,3.5925996635719355
67,6.442245307791343
68,2.211977938536952
69,4.037161726661071
70,6.945161872053809
71,11.720851635147675
72,10.718653412593632
73,10.344477782372522
74,2.4693380348250504
75,3.360833161053217
76,3.264285214594349
77,3.2273117244180134
78,3.2444914554993503
79,3.318578136573787
80,3.387932701874838
81,3.179811247099405
82,3.0548501217243738
83,2.77466144446131
84,2.48846397445776
85,2.483435533284611
86,2.302675962124258
87,7.547919158421616
88,7.1321561080170985
89,6.816500785283348
90,6.365534355399729
91,5.590968403116619
92,4.308455482298581
93,3.7322830278940766
94,8.713318216217496
95,8.145044032097212
96,15.025931049599762
97,10.21469608975504
98,6.946347872657721
99,4.171776889693256
100,2.698517962879645
101,6.94678550997048
102,9.45730141663831
103,10.507643244143946
104,10.212677647266112
105,11.760281811693568
106,11.926622191124387
107,11.800069003538344
108,11.95607853735217
109,11.376210883365076
110,10.455019238487642
111,10.287487035723972
112,8.979973470398102
113,7.372562848751287
114,6.5209031873976
115,4.428865145985274
116,2.7077076018625177
117,1.2153247350684326
118,1.5071858600981423
119,3.4395238531789105
120,8.871305599638506
121,10.943169141169196
122,11.837155017315148
123,7.527571908333323
124,8.288643128978947
125,9.140874217627806
126,10.366408770047551
127,11.08490022372941
128,12.918596531916046
129,13.557961170671671
130,14.203004771874648
131,7.272290435898959
132,8.818123814659636
133,8.652059231919008
134,9.041487425852763
135,9.451566521804974
136,9.668414467675284
137,9.908422361646995
138,8.588860572049315
139,8.614654579203497
140,0.46343429105318906
141,0.3793271883984352
142,0.522558331376977
143,3.4287342845108846
